date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,GREAVESCOT,211.7893,3.1005,44.6062,-12.5911
2026-09-04,15:29,GREENPLY,538.0008,2.5009,39.739,2.974
2026-09-04,15:29,GRINDWELL,2589.8451,2.8184,35.7443,24.2718
2026-09-04,15:29,GROBTEA,386.6785,2.1023,39.6315,-5.3582
2026-09-04,15:29,GROWW,164.284,2.4192,1.7e+308,1.7e+308
2026-09-04,15:29,GRPLTD,2623.9547,2.6092,42.2458,-5.5196
2026-09-04,15:29,GRSE,1850.5976,2.2133,46.0015,5.2737
2026-09-04,15:29,GRWRHITECH,25742.1691,2.9247,55.3531,151.1518
2026-09-04,15:29,GUFICBIO,838.4747,2.4822,35.2027,24.7441
2026-09-04,15:29,GUJALKALI,1660.825,2.5479,39.7454,22.7628
2026-09-04,15:29,GUJTHEM,580.1726,3.3583,50.619,7.0388
2026-09-04,15:29,GULFPETRO,214.5181,2.91,40.371,59.9369
2026-09-04,15:29,GULPOLY,358.6464,2.656,41.9815,15.7643
2026-09-04,15:29,GVPIL,2280.3785,3.5146,61.2946,76.8582
2026-09-04,15:29,GVT&D,9883.0867,2.8262,43.7498,56.6554
2026-09-04,15:29,HAL,3412.8145,1.5877,26.9983,10.2434
2026-09-04,15:29,HALEOSLABS,1771.8366,3.0934,41.8972,30.583
2026-09-04,15:29,HAPPYFORGE,7543.1723,2.3043,35.8768,152.6952
2026-09-04,15:29,HARRMALAYA,215.8824,2.792,36.8381,-9.6611
2026-09-04,15:29,HARSHA,512.5735,2.2547,31.3192,12.6441
2026-09-04,15:29,HATSUN,1798.504,1.9637,34.9777,28.0175
2026-09-04,15:29,HCG,507.6124,1.9763,31.1789,1.3681
2026-09-04,15:29,HDFCAMC,177.3703,1.9988,32.1594,-11.7703
2026-09-04,15:29,HDFCLIQUID,190.9517,0.0119,0.2025,4.8708
2026-09-04,15:29,HDFCSML250,201.2463,0.9236,17.1925,9.8329
2026-09-04,15:29,HEALTHIETF,158.8265,0.8107,13.584,13.5232
2026-09-04,15:29,HEG,1236.3161,2.404,40.7822,47.883
2026-09-04,15:29,HESTERBIO,6359.8803,3.5957,42.5547,12.9879
2026-09-04,15:29,HFCL,1056.4039,3.7109,49.7661,231.386
2026-09-04,15:29,HIKAL,172.0362,3.4419,47.8281,-15.185
2026-09-04,15:29,HINDALCO,376.4455,1.7088,28.7177,35.9236
2026-09-04,15:29,HINDOILEXP,235.2318,2.6169,46.3686,5.7566
2026-09-04,15:29,HIRECT,3836.0846,3.5155,55.5751,45.6886
2026-09-04,15:29,HITECHCORP,1097.7074,3.6178,51.265,65.8873
2026-09-04,15:29,HMT,154.1132,2.297,37.8599,17.0164
